question,option1,option2,option3,option4,answer,explain,topic,difficulty,test_id
'विद्यालय' शब्द में कौन सी संधि है?,दीर्घ संधि,गुण संधि,वृद्धि संधि,यण संधि,1,"विद्या + आलय = विद्यालय। यहाँ 'आ' और 'आ' मिलकर दीर्घ 'आ' बने हैं, इसलिए यह दीर्घ संधि है।",हिंदी,easy,bihar-police-constable-1
'नयन' का पर्यायवाची शब्द कौन सा है?,श्रवण,नेत्र,वदन,चरण,2,"नयन का अर्थ आँख है, और नेत्र भी आँख का ही पर्यायवाची है। श्रवण का अर्थ कान, वदन का मुख और चरण का पैर होता है।",हिंदी,easy,bihar-police-constable-1
'आँखों का तारा' मुहावरे का अर्थ क्या है?,बहुत प्रिय होना,अत्यंत क्रोधित होना,धोखा देना,बहुत दूर होना,1,'आँखों का तारा' का अर्थ है बहुत प्रिय या अत्यंत स्नेह का पात्र होना।,हिंदी,easy,bihar-police-constable-1
'रात' शब्द का तत्सम रूप क्या है?,रजनी,रात्रि,निशा,यामिनी,2,"'रात' तद्भव शब्द है और इसका तत्सम रूप 'रात्रि' है। रजनी, निशा और यामिनी पर्यायवाची तो हैं, पर 'रात' के सीधे तत्सम रूप नहीं।",हिंदी,easy,bihar-police-constable-1
Choose the word closest in meaning to <strong>brave</strong>.,Timid,Courageous,Careless,Gentle,2,"Brave का अर्थ साहसी होता है, और courageous उसका सबसे नज़दीकी पर्यायवाची है। Timid का अर्थ डरपोक है, यानी विपरीत।",English,easy,bihar-police-constable-1
Fill in the blank: She is good ____ mathematics.,in,on,at,for,3,"किसी विषय या कौशल में निपुण होने के लिए 'good at' का प्रयोग होता है — good at mathematics, good at singing।",English,easy,bihar-police-constable-1
Choose the correct sentence.,He go to school every day.,He goes to school every day.,He going to school every day.,He gone to school every day.,2,"Simple present में तीसरे पुरुष एकवचन (he, she, it) के साथ क्रिया में 's' या 'es' जुड़ता है — इसलिए 'He goes'।",English,easy,bihar-police-constable-1
What is the antonym of <strong>ancient</strong>?,Old,Modern,Historic,Antique,2,"Ancient का अर्थ प्राचीन है, इसलिए इसका विलोम modern (आधुनिक) होगा। Old, historic और antique तो उसी अर्थ के आसपास हैं।",English,easy,bihar-police-constable-1
एक वस्तु ₹450 में खरीदकर ₹504 में बेची गई। लाभ प्रतिशत कितना है?,10%,12%,15%,18%,2,लाभ = 504 − 450 = ₹54। लाभ प्रतिशत = (54 ÷ 450) × 100 = 12%।,गणित,easy,bihar-police-constable-1
दो संख्याओं का अनुपात 5 : 7 है और उनका योग 144 है। बड़ी संख्या कौन सी है?,60,72,84,96,3,अनुपात के कुल भाग = 5 + 7 = 12। एक भाग = 144 ÷ 12 = 12। बड़ी संख्या = 7 × 12 = 84।,गणित,easy,bihar-police-constable-1
